,home_team,away_team,home_shots_prop,away_shots_prop,home_corsi_prop,away_corsi_prop,home_fenwick_prop,away_fenwick_prop,home_penalties_prop,away_penalties_prop,home_hits_prop,away_hits_prop,home_takeaways_prop,away_takeaways_prop,game_end
1269,Pittsburgh Penguins,Washington Capitals,0.5333333333333333,0.4533333333333333,0.4925373134328358,0.5,0.4807692307692308,0.5096153846153846,0.4,0.5,0.4666666666666667,0.5166666666666667,0.5625,0.40625,home win
1270,Edmonton Oilers,Vegas Golden Knights,0.46153846153846156,0.5230769230769231,0.4453125,0.546875,0.47191011235955055,0.5168539325842697,0.42857142857142855,0.42857142857142855,0.5806451612903226,0.4032258064516129,0.6428571428571429,0.2857142857142857,away win
1271,Anaheim Ducks,St. Louis Blues,0.4032258064516129,0.5806451612903226,0.4375,0.5535714285714286,0.4673913043478261,0.5217391304347826,0.4,0.5,0.3333333333333333,0.6111111111111112,0.42857142857142855,0.42857142857142855,away win
1272,Arizona Coyotes,Colorado Avalanche,0.4794520547945205,0.5068493150684932,0.46875,0.5234375,0.4731182795698925,0.5161290322580645,0.42857142857142855,0.42857142857142855,0.7,0.275,0.5833333333333334,0.3333333333333333,away win
1273,Carolina Hurricanes,Boston Bruins,0.4875,0.5,0.5328467153284672,0.45985401459854014,0.5727272727272728,0.41818181818181815,0.3333333333333333,0.5,0.4,0.5714285714285714,0.4666666666666667,0.4666666666666667,away win
1274,Nashville Predators,Toronto Maple Leafs,0.4166666666666667,0.5666666666666667,0.44761904761904764,0.5428571428571428,0.4050632911392405,0.5822784810126582,0.5,0.4,0.5,0.4772727272727273,0.5,0.4166666666666667,away win
1275,Chicago Blackhawks,Vancouver Canucks,0.49206349206349204,0.49206349206349204,0.5135135135135135,0.4774774774774775,0.4691358024691358,0.5185185185185185,0.42857142857142855,0.42857142857142855,0.5217391304347826,0.45652173913043476,0.625,0.3125,away win
1276,Los Angeles Kings,St. Louis Blues,0.5740740740740741,0.4074074074074074,0.6666666666666666,0.32407407407407407,0.6309523809523809,0.35714285714285715,0.2,0.7,0.37142857142857144,0.6,0.45454545454545453,0.45454545454545453,home win
1277,Ottawa Senators,Florida Panthers,0.43548387096774194,0.5483870967741935,0.45045045045045046,0.5405405405405406,0.38372093023255816,0.6046511627906976,0.4444444444444444,0.4444444444444444,0.42592592592592593,0.5555555555555556,0.5454545454545454,0.36363636363636365,home win
1278,Buffalo Sabres,Montréal Canadiens,0.4470588235294118,0.5411764705882353,0.4696969696969697,0.5227272727272727,0.4519230769230769,0.5384615384615384,0.375,0.5,0.37037037037037035,0.5925925925925926,0.5,0.45454545454545453,away win
