,date,game_id,home_team,home_score,away_team,away_score,season,game_state,home_shots,away_shots,away_corsi,home_corsi,home_fenwick,away_fenwick,home_mean_x,away_mean_x
146,2022-10-17,2022020040,Toronto Maple Leafs,2,Arizona Coyotes,4,20222023,Final,28,19,40,50,43,22,-23.142857142857142,-17.55
147,2022-10-17,2022020041,Boston Bruins,5,Florida Panthers,3,20222023,Final,34,41,75,69,47,56,-2.84,-5.354330708661418
148,2022-10-17,2022020042,Montréal Canadiens,3,Pittsburgh Penguins,2,20222023,Final,39,28,55,67,51,38,-1.944055944055944,-3.274193548387097
149,2022-10-17,2022020043,Washington Capitals,6,Vancouver Canucks,4,20222023,Final,30,30,59,52,38,44,-1.3021582733812949,-3.2785714285714285
150,2022-10-17,2022020044,Detroit Red Wings,4,Los Angeles Kings,5,20222023,Final,33,36,59,59,44,48,-1.253968253968254,7.130769230769231
151,2022-10-18,2022020045,Minnesota Wild,3,Colorado Avalanche,6,20222023,Final,39,38,65,61,50,48,-4.724409448818897,-8.976744186046512
152,2022-10-18,2022020046,Dallas Stars,4,Winnipeg Jets,1,20222023,Final,29,25,55,58,41,44,-6.0234375,12.439655172413794
153,2022-10-18,2022020047,Seattle Kraken,1,Carolina Hurricanes,5,20222023,Final,23,34,61,44,29,51,0.4,-10.77310924369748
154,2022-10-18,2022020048,New Jersey Devils,4,Anaheim Ducks,2,20222023,Final,41,20,41,61,54,28,2.437037037037037,6.036036036036036
155,2022-10-18,2022020049,Ottawa Senators,7,Boston Bruins,5,20222023,Final,31,34,63,58,47,50,-8.033783783783784,-4.956834532374101
156,2022-10-18,2022020050,Columbus Blue Jackets,4,Vancouver Canucks,3,20222023,Final,33,35,53,60,44,39,-3.6044776119402986,-8.943396226415095
157,2022-10-18,2022020053,Tampa Bay Lightning,2,Philadelphia Flyers,3,20222023,Final,38,24,49,71,55,33,-5.483221476510067,4.873873873873874
158,2022-10-18,2022020051,New York Islanders,5,San Jose Sharks,2,20222023,Final,46,28,57,74,59,36,-3.341614906832298,-0.5481481481481482
159,2022-10-19,2022020054,Edmonton Oilers,2,Buffalo Sabres,4,20222023,Final,48,24,47,77,66,34,20.83050847457627,14.154471544715447
160,2022-10-19,2022020055,Calgary Flames,3,Vegas Golden Knights,2,20222023,Final,40,21,56,61,53,33,0.506578947368421,8.216666666666667
161,2022-10-19,2022020052,Nashville Predators,3,Los Angeles Kings,4,20222023,Final,35,37,60,66,49,48,-9.063694267515924,-13.870689655172415
162,2022-10-19,2022020056,Florida Panthers,4,Philadelphia Flyers,3,20222023,Final,36,33,53,60,51,39,0.05303030303030303,14.269565217391305
163,2022-10-20,2022020057,Colorado Avalanche,3,Winnipeg Jets,4,20222023,Final,33,28,65,54,41,40,-7.024193548387097,0.9090909090909091
164,2022-10-20,2022020058,Seattle Kraken,3,St. Louis Blues,4,20222023,Final,35,28,50,59,53,35,8.51639344262295,-7.963636363636364
165,2022-10-20,2022020059,Boston Bruins,2,Anaheim Ducks,1,20222023,Final,39,34,58,60,50,43,-3.513888888888889,2.110169491525424
166,2022-10-20,2022020060,Montréal Canadiens,6,Arizona Coyotes,2,20222023,Final,30,27,51,51,36,37,13.645454545454545,1.9305555555555556
167,2022-10-20,2022020061,Toronto Maple Leafs,3,Dallas Stars,2,20222023,Final,43,28,59,69,48,44,4.618497109826589,5.368421052631579
168,2022-10-20,2022020062,Pittsburgh Penguins,6,Los Angeles Kings,1,20222023,Final,34,40,71,60,40,54,-6.135483870967742,-5.096551724137931
169,2022-10-20,2022020063,Columbus Blue Jackets,5,Nashville Predators,3,20222023,Final,42,26,55,79,59,36,-5.0,3.6721311475409837
170,2022-10-20,2022020064,New York Rangers,2,San Jose Sharks,3,20222023,Final,23,27,48,62,44,37,3.414814814814815,11.448275862068966
171,2022-10-20,2022020065,Ottawa Senators,5,Washington Capitals,2,20222023,Final,44,24,59,63,51,38,-1.5789473684210527,-13.247863247863247
172,2022-10-20,2022020066,New York Islanders,1,New Jersey Devils,4,20222023,Final,17,43,79,46,27,58,6.0,-9.717241379310344
173,2022-10-21,2022020067,Minnesota Wild,4,Vancouver Canucks,3,20222023,Final,37,26,55,61,46,41,-10.023076923076923,-14.62962962962963
174,2022-10-21,2022020069,Edmonton Oilers,6,Carolina Hurricanes,4,20222023,Final,33,40,64,60,40,53,13.099378881987578,5.5177304964539005
175,2022-10-21,2022020068,Calgary Flames,3,Buffalo Sabres,6,20222023,Final,43,32,65,65,53,53,-15.432835820895523,-15.43089430894309
176,2022-10-21,2022020070,Vegas Golden Knights,5,Winnipeg Jets,2,20222023,Final,32,28,49,54,44,40,7.841121495327103,13.40983606557377
177,2022-10-21,2022020071,Florida Panthers,2,Tampa Bay Lightning,3,20222023,Final,38,32,59,57,44,44,-4.188405797101449,-7.027972027972028
178,2022-10-22,2022020072,Chicago Blackhawks,4,Detroit Red Wings,3,20222023,Final,29,28,53,58,41,39,0.34177215189873417,1.2307692307692308
179,2022-10-22,2022020073,Colorado Avalanche,2,Seattle Kraken,3,20222023,Final,20,38,60,40,32,45,7.36231884057971,11.169642857142858
180,2022-10-22,2022020074,Boston Bruins,4,Minnesota Wild,3,20222023,Final,43,27,55,66,55,35,-13.02112676056338,-13.544642857142858
181,2022-10-22,2022020075,New Jersey Devils,2,San Jose Sharks,1,20222023,Final,36,22,50,60,43,39,-6.303030303030303,-9.569230769230769
182,2022-10-22,2022020077,Edmonton Oilers,0,St. Louis Blues,2,20222023,Final,23,22,58,41,33,33,7.5504587155963305,2.7846153846153845
183,2022-10-22,2022020076,Ottawa Senators,6,Arizona Coyotes,2,20222023,Final,32,22,44,51,40,30,0.851063829787234,-4.566371681415929
184,2022-10-22,2022020082,Winnipeg Jets,1,Toronto Maple Leafs,4,20222023,Final,31,28,57,61,43,45,5.928057553956834,-1.4672131147540983
185,2022-10-22,2022020078,Montréal Canadiens,2,Dallas Stars,5,20222023,Final,34,30,57,54,40,44,-10.092198581560284,5.907801418439717
186,2022-10-22,2022020079,Washington Capitals,4,Los Angeles Kings,3,20222023,Final,32,26,54,65,48,36,-2.218045112781955,3.611111111111111
